Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
40, CELH, Celsius Holdings Inc., Consumer Defensive, Beverages - Non-Alcoholic, USA, 4.74B, 197.41, 9.43, 31.04, 43.69, -, -26.30%, 133.80%, 60.41%, -1.90%, 77.30%, 6.80%, 9.00%, 7.60%, 2.90, 1.90, 0.00, 0.00, 44.90%, 4.70%, 5.60%, 15.45%, 0.17%, 115.31%, 607.01%, 30.27%, 7.38%
21, AVO, Mission Produce Inc., Consumer Defensive, Farm Products, USA, 1.44B, 19.62, 3.62, 1.72, 3.00, 1604.72, -60.50%, 5.40%, 13.70%, 57.10%, -12.30%, 4.00%, 7.00%, 4.90%, 2.70, 2.20, 0.35, 0.37, 15.30%, 6.10%, 3.50%, -0.34%, -5.18%, 51.57%, -, 34.95%, 3.74%
23, BF-A, Brown-Forman Corporation, Consumer Defensive, Beverages - Wineries & Distilleries, USA, 12.68B, -, -, 3.78, 14.55, -, -, -, -, -5.20%, 1.30%, -, -, -, -, -, -, -, -, -, -, 1.67%, 10.26%, 1.76%, 26.37%, 2.08%, 1.47%
25, BG, Bunge Limited, Consumer Defensive, Farm Products, USA, 12.31B, 12.45, -, 0.27, 2.05, -, 179.50%, -10.64%, -7.70%, 474.60%, 41.30%, 9.80%, 42.20%, 9.30%, 1.50, 0.80, 0.73, 1.19, 8.30%, 5.40%, 4.80%, 1.59%, 10.35%, 40.42%, 122.50%, 32.39%, 2.49%
27, BIG, Big Lots Inc., Consumer Defensive, Discount Stores, USA, 2.27B, 9.43, 0.41, 0.37, 1.74, 6.62, 161.40%, 12.01%, 9.38%, 8.20%, 8.10%, 15.90%, 52.70%, 48.60%, 1.60, 0.60, 0.03, 0.00, 40.30%, 13.70%, 10.10%, -13.52%, -2.50%, 17.08%, 57.26%, 41.95%, 3.84%
29, BRBR, BellRing Brands Inc., Consumer Defensive, Packaged Foods, USA, 1.13B, 27.52, 1.87, 1.07, -, -, -83.40%, 23.90%, 27.98%, -85.80%, 9.60%, 3.30%, -0.90%, -10.30%, 1.50, 0.80, -, -, 32.10%, 13.50%, 2.10%, 10.27%, 23.04%, 36.44%, 42.83%, 17.98%, 3.25%
31, BRID, Bridgford Foods Corporation, Consumer Defensive, Packaged Foods, USA, 155.85M, -, -, 0.76, 2.26, -, 12.90%, -, -, -21.20%, 17.40%, -, -, 7.30%, 2.20, 1.10, 0.32, 0.38, 28.60%, -, -, 24.79%, 14.59%, -2.43%, 4.74%, -3.02%, 8.73%
33, BUD, Anheuser-Busch InBev SA/NV, Consumer Defensive, Beverages - Brewers, Belgium, 128.24B, 20.86, 32.58, 2.66, 2.20, -, -107.50%, 17.39%, 2.00%, 124.90%, 11.70%, -, -, 4.20%, -, -, -, -, 57.90%, -, -, 5.03%, 27.69%, 11.44%, 61.63%, 8.38%, 1.09%
35, CAG, Conagra Brands Inc., Consumer Defensive, Packaged Foods, USA, 18.20B, 14.46, 2.47, 1.55, 2.24, 17.17, 12.60%, 0.11%, 6.33%, 38.00%, 8.50%, 5.30%, 14.60%, 7.20%, 0.80, 0.30, 1.00, 1.12, 29.10%, 16.20%, 10.10%, 3.08%, 11.57%, 6.54%, 9.51%, 5.07%, 1.59%
37, CASY, "Caseys General Stores Inc.", Consumer Defensive, Grocery Stores, USA, 8.03B, 26.30, 3.15, 0.99, 4.32, 20.99, 28.70%, 3.26%, 7.85%, 13.30%, -10.70%, 8.00%, 18.70%, 10.40%, 1.30, 0.80, 0.72, 0.72, 28.50%, 5.90%, 4.10%, -0.94%, 8.78%, 21.98%, 38.26%, 23.64%, 2.04%
39, CCU, Compania Cervecerias Unidas S.A., Consumer Defensive, Beverages - Brewers, Chile, 3.30B, 17.47, 10.40, 1.25, 1.84, 20.52, -26.10%, 3.21%, 1.80%, 99.70%, 11.40%, 5.10%, 9.80%, 7.80%, 1.80, 1.40, 0.34, 0.39, 47.40%, 10.60%, 6.70%, -3.18%, 2.05%, 22.34%, 28.19%, 22.18%, 2.90%
42, CENTA, Central Garden & Pet Company, Consumer Defensive, Packaged Foods, USA, 2.13B, 16.93, 3.59, 0.70, 2.56, -, 15.00%, 14.60%, 5.90%, 70.80%, 33.00%, -, -, -, -, -, -, -, -, -, -, -1.94%, 16.65%, 36.50%, 47.26%, 38.87%, 3.03%
44, CHEF, "The Chefs Warehouse Inc.", Consumer Defensive, Food Distribution, USA, 1.16B, 54.15, -, 1.14, 3.41, -, -403.10%, 183.80%, 21.20%, -3.50%, -25.40%, -, -, -8.30%, 3.10, 2.40, 1.21, 1.23, 21.80%, -, -, -4.89%, -3.84%, 34.74%, 107.84%, 19.74%, 3.72%
46, CHSCL, CHS Inc., Consumer Defensive, Farm Products, USA, -, -, -, -, -, -, -, -, -, -, 26.10%, -, -, -, -, -, -, -, -, -, -, 1.15%, 3.55%, 0.28%, 8.53%, -1.45%, 1.04%
48, CHSCN, CHS Inc., Consumer Defensive, Farm Products, USA, -, -, -, -, -, -, -, -, -, -, 26.10%, -, -, -, -, -, -, -, -, -, -, 0.93%, 3.83%, 0.25%, 10.52%, 1.29%, 0.91%
50, CHSCP, CHS Inc., Consumer Defensive, Farm Products, USA, 369.95M, -, -, 0.01, -, -, 0.00%, -, -, 0.00%, 26.10%, 0.90%, 2.30%, 3.20%, 1.20, 0.60, 0.25, 0.73, 2.00%, -0.10%, 0.50%, 0.62%, 2.55%, 0.75%, 5.74%, 1.00%, 0.89%
52, CLEU, China Liberal Education Holdings Limited, Consumer Defensive, Education & Training Services, China, 39.99M, -, -, 8.00, 1.75, -, 135.80%, -, -, 331.00%, -18.50%, -, -, 9.80%, 11.10, 10.90, 0.00, 0.00, 57.10%, -, -, -11.54%, -20.30%, -44.48%, -24.24%, -16.58%, 7.24%
54, CLXT, Calyxt Inc., Consumer Defensive, Packaged Foods, USA, 157.01M, -, -, 6.06, 6.25, -, -9.60%, 11.10%, -, 19.50%, 83.30%, -71.20%, -124.30%, -77.30%, 4.60, 3.90, 0.75, 0.77, -46.80%, -, -, -16.80%, -55.34%, 10.80%, -0.69%, 2.13%, 8.58%
56, COKE, Coca-Cola Consolidated Inc., Consumer Defensive, Beverages - Non-Alcoholic, USA, 3.77B, 14.25, -, 0.74, 6.71, 11.46, 32.30%, 5.02%, -, 194.40%, 8.30%, 6.50%, 43.90%, 16.60%, 1.40, 1.00, 1.73, 1.74, 35.50%, 7.30%, 4.10%, 35.98%, 57.62%, 52.61%, 66.34%, 52.07%, 3.70%
58, COST, Costco Wholesale Corporation, Consumer Defensive, Discount Stores, USA, 171.48B, 33.37, 3.70, 0.96, 10.71, 32.96, 12.90%, 8.18%, 10.47%, 2.00%, 14.60%, 7.80%, 26.40%, 15.50%, 1.00, 0.50, 0.48, 0.49, 13.20%, 3.20%, 2.40%, 1.27%, 14.02%, 0.11%, 25.84%, 0.40%, 1.49%
60, COUR, Coursera Inc., Consumer Defensive, Education & Training Services, USA, 5.16B, -, -, 15.73, -, -, -43.00%, -, -, -312.10%, 64.30%, -, -, 30.70%, 2.20, 2.20, -, -, 53.40%, -21.40%, -21.70%, -15.84%, -, -, -, -15.56%, 7.57%
