Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
88, FRPT, Freshpet Inc., Consumer Defensive, Packaged Foods, USA, 7.79B, 256.26, -, 22.77, 10.20, -, -108.50%, 751.85%, -, -172.80%, 33.20%, -2.00%, -2.20%, -0.50%, 8.60, 8.20, 0.00, 0.00, 43.60%, -2.60%, -3.10%, -4.11%, 11.54%, 34.85%, 129.10%, 24.53%, 3.58%
90, GIS, General Mills Inc., Consumer Defensive, Packaged Foods, USA, 37.99B, 16.96, 3.59, 2.04, 4.35, 19.44, 23.40%, -0.54%, 4.25%, 29.80%, 8.10%, 8.00%, 30.00%, 12.00%, 0.70, 0.50, 1.10, 1.56, 35.60%, 19.00%, 13.70%, 2.33%, 14.83%, 4.77%, -0.29%, 6.90%, 1.73%
92, GOTU, GSX Techedu Inc., Consumer Defensive, Education & Training Services, China, 4.90B, -, -, 4.03, 6.92, -, -746.40%, 77.30%, 16.03%, -, 49.50%, -41.80%, -96.50%, -25.50%, 1.80, 1.80, 0.00, 0.00, 73.60%, -39.90%, -38.20%, -43.82%, -82.33%, -70.24%, -40.88%, -64.15%, 10.98%
94, HAIN, The Hain Celestial Group Inc., Consumer Defensive, Packaged Foods, USA, 4.06B, 24.70, 4.35, 2.00, 2.71, 23.51, 155.30%, 14.74%, 32.40%, 40.50%, -11.00%, 1.80%, 2.70%, 2.90%, 1.80, 0.90, 0.17, 0.17, 25.10%, 4.50%, 2.00%, -1.07%, -3.69%, 9.36%, 29.48%, 1.52%, 2.04%
96, HFFG, HF Foods Group Inc., Consumer Defensive, Food Distribution, USA, 323.89M, -, -, 0.59, 1.21, 9.25, -, -, -, 100.50%, -9.30%, -0.30%, -0.60%, -85.80%, 1.30, 0.60, 0.36, 0.48, 18.30%, -0.70%, -0.30%, -2.86%, -18.75%, -24.94%, -14.66%, -18.75%, 7.46%
98, HLF, Herbalife Nutrition Ltd., Consumer Defensive, Packaged Foods, USA, 6.22B, 9.54, -, 1.08, -, 13.08, 26.10%, 10.78%, -0.50%, 307.90%, 18.90%, 15.50%, -55.90%, 31.60%, 1.30, 0.80, -, -, 78.90%, 13.30%, 8.20%, 14.51%, 15.74%, 7.44%, 19.91%, 9.41%, 2.80%
100, HMHC, Houghton Mifflin Harcourt Company, Consumer Defensive, Education & Training Services, USA, 1.28B, -, -, 1.29, 26.16, 8.99, -122.10%, 46.90%, 5.00%, 85.70%, -3.70%, -9.00%, -146.40%, -56.80%, 1.20, 0.80, 12.84, 13.23, 38.80%, -13.00%, -18.80%, 8.52%, 58.03%, 230.23%, 549.67%, 198.50%, 4.87%
81, FDP, Fresh Del Monte Produce Inc., Consumer Defensive, Farm Products, Cayman Islands, 1.58B, 15.11, 0.84, 0.38, 0.89, 35.88, -24.90%, 5.73%, 24.00%, 232.70%, -2.70%, 2.40%, 4.60%, 3.10%, 1.80, 1.00, 0.30, 0.30, 7.30%, 2.80%, 1.90%, 17.32%, 29.48%, 32.98%, 34.47%, 39.05%, 3.26%
83, FHS, First High-School Education Group Co. Ltd., Consumer Defensive, Education & Training Services, China, 167.02M, -, -, 2.39, -, 10.64, 155.70%, -, -, 95.10%, 36.20%, -, -, 191.40%, 0.60, 0.60, -, -, 35.60%, 22.40%, 18.10%, -16.57%, -, -, -, -33.64%, 5.63%
85, FLO, Flowers Foods Inc., Consumer Defensive, Packaged Foods, USA, 5.08B, 19.99, -, 1.17, 3.61, 29.32, -7.60%, 5.06%, -3.36%, 2415.70%, -3.50%, 6.90%, 16.80%, 11.60%, 1.70, 1.30, 0.63, 0.64, 50.00%, 7.10%, 5.30%, 0.04%, 10.40%, 8.76%, 2.12%, 6.45%, 1.67%
87, FREE, Whole Earth Brands Inc., Consumer Defensive, Packaged Foods, USA, 490.75M, 11.72, -, 1.56, 1.64, -, 177.50%, 30.74%, -, -, 10.10%, -7.70%, -12.60%, -, 2.90, 1.20, 0.56, 0.58, 33.60%, -, -12.10%, -1.86%, -2.29%, 58.77%, 31.05%, 21.19%, 3.36%
89, GHC, Graham Holdings Company, Consumer Defensive, Education & Training Services, USA, 3.33B, 13.80, 0.41, 1.16, 0.85, -, -5.00%, 62.16%, 18.10%, 451.90%, -2.70%, -, -, 4.80%, 2.00, 1.80, 0.13, 0.13, 34.30%, -, -, 2.78%, 13.39%, 43.42%, 84.95%, 24.22%, 2.57%
91, GO, Grocery Outlet Holding Corp., Consumer Defensive, Grocery Stores, USA, 3.28B, 31.03, 4.22, 1.05, 3.42, 529.79, 475.50%, 14.26%, 7.10%, 42.40%, -1.00%, 4.70%, 12.60%, 9.20%, 1.90, 0.60, 0.47, 0.00, 31.00%, 3.70%, 3.60%, -16.35%, -5.12%, -8.56%, -7.44%, -13.20%, 3.08%
93, GPX, GP Strategies Corporation, Consumer Defensive, Education & Training Services, USA, 304.62M, 14.58, 2.15, 0.66, 1.35, 6.33, -54.90%, 17.42%, 15.00%, 225.40%, -10.70%, 2.60%, 4.70%, 4.30%, 1.90, 1.90, 0.00, 0.00, 17.70%, 3.40%, 2.20%, 12.10%, 30.55%, 52.11%, 125.35%, 49.16%, 4.09%
95, HELE, Helen of Troy Limited, Consumer Defensive, Household & Personal Products, USA, 5.30B, 16.67, 2.72, 2.52, 4.14, 24.60, 59.60%, 8.48%, 8.00%, 815.30%, 15.10%, 11.60%, 20.40%, 16.20%, 1.60, 0.80, 0.28, 0.28, 44.20%, 13.40%, 12.10%, -0.38%, -4.25%, 1.25%, 15.70%, -5.27%, 2.86%
97, HIMS, Hims & Hers Health Inc., Consumer Defensive, Household & Personal Products, USA, 2.55B, -, -, 17.14, 1.87, -, -365.70%, 52.70%, -, -380.20%, 67.40%, -0.10%, -0.10%, -, 0.20, 0.20, 0.00, 0.00, -, -, -, 17.44%, -5.32%, 40.59%, 43.67%, -1.30%, 9.84%
99, HLG, Hailiang Education Group Inc., Consumer Defensive, Education & Training Services, China, 1.07B, 76.17, -, 0.64, 2.86, -, 26.40%, 21.41%, -, -51.00%, -41.00%, -, -, 16.90%, 1.60, 1.60, 0.01, 0.01, -, -, -, -18.29%, -32.04%, -37.68%, -7.71%, -38.34%, 5.04%
102, HSY, The Hershey Company, Consumer Defensive, Confectioners, USA, 35.90B, 23.77, 2.98, 4.27, 15.92, 36.96, 11.90%, 5.66%, 8.65%, 47.10%, 12.70%, 15.40%, 67.60%, 21.00%, 1.60, 1.10, 1.81, 2.00, 46.20%, 21.80%, 16.70%, 5.38%, 19.19%, 16.81%, 27.54%, 13.60%, 1.43%
104, IFMK, iFresh Inc., Consumer Defensive, Grocery Stores, USA, 46.40M, -, -, 0.49, 3.74, -, 42.80%, -, -, 145.30%, 22.50%, 0.60%, 16.30%, -62.50%, 0.60, 0.40, 0.02, 2.06, 21.70%, -3.60%, 0.80%, -8.39%, -21.08%, 65.90%, 23.58%, 67.31%, 6.51%
106, IMKTA, Ingles Markets Incorporated, Consumer Defensive, Grocery Stores, USA, 1.15B, -, 0.50, 0.24, 1.48, 8.18, 68.50%, -, 14.50%, 30.30%, 3.40%, 11.70%, 27.50%, 15.30%, 1.70, 0.40, 0.74, 0.77, 26.80%, 6.90%, 4.80%, 1.09%, 13.13%, 63.17%, 45.36%, 45.19%, 3.01%
108, IPAR, Inter Parfums Inc., Consumer Defensive, Household & Personal Products, USA, 2.43B, 38.22, 3.62, 4.10, 4.48, 26.04, -36.50%, 17.50%, 12.00%, 174.40%, 37.10%, 6.70%, 10.90%, 9.00%, 4.00, 3.10, 0.02, 0.02, 54.30%, 16.90%, 9.40%, 3.66%, 1.68%, 36.64%, 64.79%, 26.43%, 2.90%
110, JJSF, J & J Snack Foods Corp., Consumer Defensive, Packaged Foods, USA, 3.33B, 39.56, 336.36, 3.46, 4.10, -, -80.60%, 83.92%, 6.00%, -17.60%, -5.80%, 0.20%, 0.20%, 1.70%, 3.70, 2.90, 0.00, 0.00, 21.00%, -0.80%, 0.20%, 6.61%, 9.55%, 14.24%, 36.50%, 13.01%, 2.01%
112, K, Kellogg Company, Consumer Defensive, Packaged Foods, USA, 22.32B, 15.52, 5.38, 1.60, 7.13, 46.30, 32.90%, 3.71%, 3.22%, 6.10%, 5.00%, 6.90%, 41.80%, 14.00%, 0.70, 0.40, 2.12, 2.45, 34.10%, 12.80%, 9.10%, 4.40%, 15.08%, 3.53%, 0.28%, 5.24%, 1.94%
114, KHC, The Kraft Heinz Company, Consumer Defensive, Packaged Foods, USA, 53.12B, 16.36, -, 2.01, 1.06, 18.47, -85.80%, 0.00%, -1.70%, 48.00%, 3.80%, 0.50%, 1.10%, 1.70%, 1.70, 1.40, 0.54, 0.54, 35.90%, 9.10%, 2.00%, 4.57%, 17.52%, 33.96%, 43.06%, 25.76%, 1.63%
116, KO, The Coca-Cola Company, Consumer Defensive, Beverages - Non-Alcoholic, USA, 239.26B, 23.51, 3.66, 7.16, 11.69, 86.62, -13.30%, 7.94%, 9.05%, -19.20%, 4.90%, 7.80%, 38.10%, 12.20%, 1.30, 1.10, 1.97, 2.21, 59.40%, 27.50%, 21.60%, 1.90%, 10.80%, 4.46%, 18.44%, 0.82%, 1.16%
118, KR, The Kroger Co., Consumer Defensive, Grocery Stores, USA, 27.48B, 12.77, 1.50, 0.21, 2.94, 8.04, 60.60%, 1.76%, 7.60%, -124.60%, 6.40%, 5.30%, 26.30%, 8.70%, 0.80, 0.40, 1.31, 1.40, 23.30%, 2.10%, 1.90%, -0.22%, 12.44%, 14.42%, 13.37%, 16.44%, 2.40%
120, LANC, Lancaster Colony Corporation, Consumer Defensive, Packaged Foods, USA, 5.12B, 30.97, 12.17, 3.65, 6.17, 409.93, -8.90%, 1.07%, 3.00%, 28.70%, 11.10%, 14.20%, 18.20%, 17.00%, 2.80, 2.10, 0.00, 0.00, 27.00%, 13.80%, 10.50%, 0.49%, 5.26%, 8.98%, 21.64%, 1.60%, 2.16%
101, HRL, Hormel Foods Corporation, Consumer Defensive, Packaged Foods, USA, 26.25B, 25.89, 5.10, 2.66, 4.00, 96.12, -7.50%, 8.13%, 5.87%, -8.90%, 3.20%, 9.60%, 14.30%, 11.60%, 2.50, 1.80, 0.16, 0.20, 18.30%, 11.10%, 9.20%, 4.23%, 4.75%, 3.56%, -0.59%, 4.14%, 1.83%
103, IBA, Industrias Bachoco S.A.B. de C.V., Consumer Defensive, Farm Products, Mexico, 2.31B, 9.85, -, 0.64, 1.01, 36.72, 22.30%, 49.52%, -, -3.10%, 23.00%, 6.60%, 8.80%, 6.50%, 4.70, 3.50, 0.04, 0.07, 18.10%, 8.60%, 5.30%, 5.51%, 17.62%, 13.56%, 26.64%, 2.75%, 2.61%
105, IH, iHuman Inc., Consumer Defensive, Education & Training Services, China, 505.97M, 122.74, -, 6.07, 4.02, -, 82.50%, 500.00%, -, -647.20%, 206.10%, -, -, -7.00%, 2.60, 2.50, 0.00, 0.00, 68.70%, -8.40%, -9.10%, -33.13%, -51.04%, -68.73%, -, -50.55%, 6.47%
107, INGR, Ingredion Incorporated, Consumer Defensive, Packaged Foods, USA, 6.35B, 13.44, 130.45, 1.05, 2.42, 21.01, -16.00%, 8.16%, 1.90%, -430.40%, 4.60%, 0.40%, 1.00%, 8.30%, 1.90, 1.20, 0.66, 0.83, 21.50%, 4.30%, 0.40%, 1.77%, 6.32%, 17.59%, 12.70%, 20.67%, 1.77%
109, JBSS, John B. Sanfilippo & Son Inc., Consumer Defensive, Packaged Foods, USA, 1.06B, 17.74, -, 1.23, 4.65, 63.57, 36.70%, 0.19%, -, 8.80%, -1.70%, 14.50%, 24.60%, 20.90%, 2.10, 0.70, 0.05, 0.19, 20.90%, 9.70%, 6.70%, 4.21%, 5.63%, 28.52%, 12.60%, 21.62%, 2.20%
111, JVA, Coffee Holding Co. Inc., Consumer Defensive, Packaged Foods, USA, 32.20M, -, 1.76, 0.44, 1.24, 6.44, 0.50%, -, 16.00%, 210.20%, -6.20%, 3.00%, 4.50%, -2.60%, 6.30, 2.60, 0.04, 0.04, 19.70%, 1.10%, 1.60%, 24.45%, 18.36%, 50.32%, 111.03%, 54.43%, 5.64%
113, KDP, Keurig Dr Pepper Inc., Consumer Defensive, Beverages - Non-Alcoholic, USA, 51.95B, 21.12, 3.78, 4.36, 2.16, 38.28, 7.90%, 9.17%, 9.11%, 108.70%, 11.10%, 3.00%, 6.30%, 5.20%, 0.40, 0.30, 0.50, 0.58, 56.20%, 21.30%, 12.50%, 2.84%, 19.65%, 21.86%, 32.38%, 15.50%, 1.50%
115, KMB, Kimberly-Clark Corporation, Consumer Defensive, Household & Personal Products, USA, 44.83B, 16.48, 7.63, 2.38, 85.38, 61.41, 10.00%, 7.40%, 2.57%, -10.30%, -5.30%, 13.50%, 521.10%, 28.10%, 0.80, 0.50, 14.63, 17.08, 36.40%, 16.30%, 12.10%, -1.51%, 1.74%, -7.16%, -7.64%, -3.12%, 1.44%
117, KOF, Coca-Cola FEMSA S.A.B. de C.V., Consumer Defensive, Beverages - Non-Alcoholic, Mexico, 2.53B, 14.76, -, 0.28, 1.89, -, -14.80%, 9.64%, -1.90%, 24.10%, -1.30%, -, -, 8.60%, 1.50, 1.30, 0.79, 0.83, 44.80%, -, -, 0.25%, 13.18%, 7.01%, 11.97%, 6.33%, 2.00%
119, LAIX, LAIX Inc., Consumer Defensive, Education & Training Services, China, 99.11M, -, -, 0.65, -, -, 31.40%, 48.90%, -, 82.70%, 1.80%, -62.50%, 63.50%, 57.50%, 0.30, 0.30, -, -, 71.50%, -41.90%, -40.60%, -13.46%, -33.58%, -4.26%, -38.25%, 18.42%, 10.57%
122, LEXX, Lexaria Bioscience Corp., Consumer Defensive, Packaged Foods, Canada, 32.10M, -, -, 45.86, 2.10, -, 10.30%, -, -, 127.80%, 411.30%, -46.20%, -48.90%, -163.40%, 27.40, 27.10, 0.00, 0.00, 81.70%, -, -, 18.75%, 2.18%, 2.80%, -31.30%, -18.71%, 12.84%
124, LINC, Lincoln Educational Services Corporation, Consumer Defensive, Education & Training Services, USA, 204.37M, 11.57, 0.31, 0.68, 2.03, -, 63.90%, 13.56%, 15.00%, 264.70%, 11.40%, -, -, 46.10%, 1.20, 1.10, 0.16, 0.18, 58.70%, -, -, 17.07%, 29.82%, 20.34%, 98.72%, 19.23%, 4.09%
126, LND, Brasilagro - Cia Bras de Prop Agricolas ADR, Consumer Defensive, Farm Products, Brazil, 478.99M, -, -, 0.75, 0.31, -, -, -, -, 458.70%, 14.00%, -, -, -, -, -, -, -, -, -, -, 0.65%, 45.41%, 21.71%, 58.63%, 20.98%, 4.08%
128, LOPE, Grand Canyon Education Inc., Consumer Defensive, Education & Training Services, USA, 4.24B, 13.38, -, 4.93, 2.64, 15.10, 1.60%, 9.93%, -, 12.90%, 6.90%, 14.40%, 17.10%, 12.00%, 2.40, 2.40, 0.04, 0.06, -, 32.70%, 30.70%, -17.01%, -14.79%, 6.41%, -6.81%, -2.33%, 3.05%
130, LSF, Laird Superfood Inc., Consumer Defensive, Packaged Foods, USA, 296.41M, -, -, 11.40, 3.66, -, 28.40%, 56.10%, 30.00%, -179.90%, 73.80%, -, -, -16.20%, 27.70, 25.40, 0.00, 0.00, 26.20%, -40.90%, -18.10%, -10.73%, -18.67%, -30.89%, -, -30.94%, 5.16%
132, LWAY, Lifeway Foods Inc., Consumer Defensive, Packaged Foods, USA, 88.62M, -, 2.05, 0.84, 1.85, 13.23, 561.10%, -, 10.00%, -73.40%, 15.70%, 7.30%, 9.40%, 6.20%, 2.90, 2.20, 0.06, 0.00, 27.30%, 6.20%, 4.10%, 11.31%, -1.89%, -16.40%, 140.93%, 5.55%, 6.07%
134, MDLZ, Mondelez International Inc., Consumer Defensive, Confectioners, USA, 88.93B, 20.37, 2.52, 3.28, 3.31, 44.29, -8.60%, 7.37%, 9.56%, 32.30%, 7.90%, 5.70%, 14.10%, 5.10%, 0.60, 0.40, 0.63, 0.72, 40.40%, 14.60%, 13.90%, 4.30%, 18.39%, 10.51%, 21.89%, 8.65%, 1.27%
136, MGPI, MGP Ingredients Inc., Consumer Defensive, Packaged Foods, USA, 1.53B, 21.25, 1.72, 3.78, 4.24, 43.21, 4.50%, 13.49%, 15.00%, 57.10%, 9.30%, 12.40%, 17.60%, 13.90%, 4.20, 1.70, 0.13, 0.14, 26.70%, 15.10%, 11.30%, 12.68%, 5.27%, 57.46%, 85.79%, 48.09%, 3.62%
138, MKC, McCormick & Company Incorporated, Consumer Defensive, Packaged Foods, USA, 23.65B, 28.19, 5.23, 4.03, 5.73, 60.58, 6.20%, 5.44%, 6.00%, 11.30%, 22.20%, 6.60%, 19.50%, 9.30%, 0.80, 0.40, 1.14, 1.35, 41.00%, 17.70%, 13.00%, -1.70%, 5.33%, -4.03%, 1.69%, -6.84%, 1.72%
140, MO, Altria Group Inc., Consumer Defensive, Tobacco, USA, 91.05B, 10.17, 4.83, 3.53, 31.35, 51.65, 470.60%, 5.22%, 4.35%, -8.30%, -5.10%, 9.00%, 118.80%, 17.70%, 0.80, 0.60, 9.67, 10.19, 52.20%, 31.10%, 16.80%, 5.62%, 10.51%, 21.89%, 26.04%, 20.05%, 1.67%
121, LAUR, Laureate Education Inc., Consumer Defensive, Education & Training Services, USA, 2.84B, 31.76, -, 2.77, 1.53, -, -122.50%, 169.70%, 15.00%, -183.80%, 1.20%, -, -, -6.30%, 1.60, 1.60, 0.47, 0.50, 25.70%, -, -, 23.08%, 7.74%, -1.22%, 50.15%, 0.34%, 3.19%
123, LFVN, LifeVantage Corporation, Consumer Defensive, Household & Personal Products, USA, 111.58M, 7.97, 0.82, 0.50, 3.15, 8.33, 59.50%, 11.11%, 12.00%, 7.30%, -8.00%, 17.00%, 34.10%, 37.10%, 2.00, 1.30, 0.00, 0.00, 83.20%, 7.70%, 5.30%, -8.60%, -13.28%, -28.58%, -47.94%, -14.48%, 4.73%
125, LMNR, Limoneira Company, Consumer Defensive, Farm Products, USA, 320.93M, 32.62, -, 1.99, 1.84, -, -192.30%, 860.00%, 15.00%, 33.10%, -8.20%, -3.70%, -7.90%, -4.00%, 1.40, -, 0.74, 0.76, 3.30%, -10.00%, -9.20%, 4.27%, 18.70%, 22.73%, 40.64%, 12.85%, 2.84%
127, LNDC, Landec Corporation, Consumer Defensive, Packaged Foods, USA, 333.48M, 139.19, -, 0.59, 1.71, -, 26.90%, 147.40%, 10.00%, 52.50%, -9.90%, -8.70%, -20.80%, -6.60%, 1.30, 0.70, 0.71, 0.91, 14.40%, -5.20%, -8.00%, 4.36%, 6.59%, 13.35%, 12.18%, 10.32%, 3.47%
129, LRN, Stride Inc., Consumer Defensive, Education & Training Services, USA, 1.12B, 20.26, 0.85, 0.79, 1.38, 13.12, -33.70%, -18.09%, 20.00%, 160.30%, 52.40%, 4.80%, 9.00%, 3.00%, 3.30, 3.10, 0.43, 0.46, 34.80%, 6.80%, 4.70%, -7.63%, 6.12%, 16.72%, 9.18%, 26.61%, 3.93%
131, LW, Lamb Weston Holdings Inc., Consumer Defensive, Packaged Foods, USA, 11.74B, 26.63, 4.55, 3.34, 26.78, 33.78, -21.30%, 40.24%, 10.65%, -40.70%, -4.40%, 5.80%, 70.00%, 11.80%, 3.00, 2.00, 6.00, 6.08, 21.20%, 11.60%, 7.10%, 2.36%, 1.50%, 12.60%, 37.35%, 4.76%, 1.97%
133, LXEH, Lixiang Education Holding Co. Ltd., Consumer Defensive, Education & Training Services, China, 114.37M, -, -, 4.59, -, 20.42, -, -, -, -42.00%, 89.30%, -, -, -, 2.40, 2.30, -, -, 28.30%, -, -, -6.11%, -3.98%, -8.55%, -, 0.35%, 5.02%
135, METX, Meten EdtechX Education Group Ltd., Consumer Defensive, Education & Training Services, China, 103.26M, -, -, 0.71, -, -, -, -, -, 26.80%, 13.80%, -33.60%, 119.40%, -313.70%, 0.20, 0.20, -, -, 35.20%, -45.10%, -42.80%, -45.87%, -59.00%, -68.41%, -91.01%, -51.82%, 10.09%
137, MITC, Meat-Tech 3D Ltd., Consumer Defensive, Packaged Foods, Israel, 86.14M, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -24.65%, -, -, -, -30.00%, 4.69%
139, MNST, Monster Beverage Corporation, Consumer Defensive, Beverages - Non-Alcoholic, USA, 49.32B, 31.27, 2.34, 10.32, 9.12, 37.87, 30.00%, 14.42%, 14.86%, 14.20%, 17.10%, 24.50%, 29.70%, 27.40%, 4.40, 3.90, 0.00, 0.00, 57.50%, 35.20%, 30.20%, -3.75%, 7.68%, 12.12%, 31.09%, 1.94%, 1.83%
142, NAII, Natural Alternatives International Inc., Consumer Defensive, Packaged Foods, USA, 92.39M, -, -, 0.55, 1.12, 10.15, -126.70%, -, -, 149.50%, 81.60%, 7.80%, 13.20%, -1.70%, 3.30, 2.10, 0.00, 0.00, 17.20%, 7.20%, 5.70%, -13.32%, -15.61%, 37.90%, 101.90%, 30.23%, 4.90%
144, NATR, "Natures Sunshine Products Inc.", Consumer Defensive, Household & Personal Products, USA, 405.91M, -, -, 1.04, 2.91, 18.28, 210.60%, -, -, 32.30%, 6.80%, 9.30%, 15.40%, 13.50%, 1.90, 1.30, 0.00, 0.02, 73.60%, 5.60%, 5.70%, 1.14%, 21.96%, 74.34%, 123.04%, 44.72%, 3.88%
146, NEW, Puxin Limited, Consumer Defensive, Education & Training Services, China, 188.91M, 2.03, -, 0.42, 2.30, -, 93.90%, 187.90%, -, 186.80%, -8.60%, 1.10%, 10.80%, -3.70%, 0.40, 0.40, 1.43, 3.59, 45.60%, -1.80%, 1.70%, -47.41%, -73.99%, -74.40%, -71.45%, -66.84%, 11.09%
148, NOMD, Nomad Foods Limited, Consumer Defensive, Packaged Foods, United Kingdom, 5.37B, 14.95, 1.52, 1.73, 2.05, 10.73, 46.60%, 7.55%, 14.03%, 18.50%, 3.60%, 4.00%, 10.00%, 7.40%, 1.10, 0.80, 0.81, 0.82, 30.60%, 14.70%, 8.90%, 4.82%, 26.89%, 31.07%, 44.81%, 20.65%, 1.91%
150, NUS, Nu Skin Enterprises Inc., Consumer Defensive, Household & Personal Products, USA, 3.03B, 13.31, 2.11, 1.11, 3.50, 20.16, 16.90%, 6.03%, 6.81%, 153.90%, 30.70%, 11.70%, 25.90%, 15.60%, 1.60, 1.00, 0.34, 0.45, 74.40%, 10.40%, 8.00%, 11.16%, 14.16%, 15.54%, 61.81%, 10.12%, 2.77%
152, NWL, Newell Brands Inc., Consumer Defensive, Household & Personal Products, USA, 12.16B, 15.13, 5.29, 1.24, 3.18, 16.52, -513.60%, 10.23%, 3.86%, 106.90%, 21.30%, 4.10%, 16.00%, -4.40%, 1.30, 0.70, 1.34, 1.43, 32.60%, 9.70%, 6.10%, 6.34%, 18.95%, 34.32%, 118.17%, 35.14%, 2.49%
154, ONE, OneSmart International Education Group Limited, Consumer Defensive, Education & Training Services, China, 243.90M, 0.81, -, 0.46, 13.18, -, -396.70%, 566.70%, 4.14%, -956.00%, 5.20%, -12.60%, -289.10%, -11.80%, 0.30, 0.30, 6.09, 14.87, 36.50%, -13.90%, -28.30%, -49.48%, -56.72%, -63.75%, -60.60%, -61.84%, 11.89%
156, PEP, PepsiCo Inc., Consumer Defensive, Beverages - Non-Alcoholic, USA, 202.42B, 22.51, 2.99, 2.84, 14.63, 244.77, -1.50%, 8.11%, 9.18%, 28.90%, 6.80%, 8.20%, 56.20%, 13.80%, 0.90, 0.70, 2.80, 3.13, 54.70%, 14.40%, 10.50%, 2.78%, 13.26%, 2.62%, 12.46%, -0.24%, 1.32%
158, PFGC, Performance Food Group Company, Consumer Defensive, Food Distribution, USA, 6.56B, 21.73, -, 0.24, 3.22, 10.88, -163.70%, 80.23%, 74.35%, 83.40%, 2.90%, -1.90%, -7.00%, 0.20%, 1.40, 0.70, 1.16, 1.19, 11.60%, -0.40%, -0.50%, -13.46%, -10.55%, 13.31%, 88.11%, 5.29%, 3.56%
160, PLAG, Planet Green Holdings Corp., Consumer Defensive, Packaged Foods, USA, 34.80M, -, -, 6.96, 0.78, -, -189.50%, -, -, -12.50%, 175.00%, -, -, -61.20%, 1.60, 1.30, 0.00, 0.12, 29.60%, -, -, -11.17%, -40.14%, -26.75%, -29.09%, -25.11%, 10.75%
141, MTEX, Mannatech Incorporated, Consumer Defensive, Household & Personal Products, USA, 42.25M, -, 0.55, 0.28, 1.98, 17.60, 105.20%, -, 17.50%, -11.00%, 4.60%, 8.80%, 22.00%, 18.80%, 1.40, 1.00, 0.00, 0.03, 76.70%, 3.40%, 3.70%, 26.13%, 41.61%, 66.78%, 141.07%, 35.22%, 1.85%
143, NAPA, The Duckhorn Portfolio Inc., Consumer Defensive, Beverages - Wineries & Distilleries, USA, 2.13B, 42.58, 0.01, 7.35, -, -, 46.50%, 10.62%, 6.75%, 98.80%, 26.00%, -, -, 5.10%, 3.60, 0.60, 0.55, 0.57, 50.00%, 24.70%, 14.20%, -2.15%, -, -, -, 5.82%, 4.12%
145, NBEV, NewAge Inc., Consumer Defensive, Beverages - Non-Alcoholic, USA, 326.49M, 15.80, -, 0.96, 1.80, -, 64.90%, 225.00%, -, -2.60%, 97.00%, -13.30%, -36.80%, -18.90%, 1.40, 1.00, 0.16, 0.30, 65.40%, -8.20%, -13.30%, 9.22%, -17.99%, -30.50%, 56.95%, -9.89%, 6.02%
147, NGVC, Natural Grocers by Vitamin Cottage Inc., Consumer Defensive, Grocery Stores, USA, 269.89M, 15.99, 3.18, 0.26, 2.03, -, 112.30%, 13.64%, 5.10%, -52.00%, -6.60%, 2.50%, 11.00%, 10.20%, 1.10, 0.30, 0.53, 0.57, 27.50%, 2.20%, 1.60%, -24.73%, -18.32%, -17.37%, -5.26%, -12.74%, 4.85%
149, NTCO, Natura &Co Holding S.A., Consumer Defensive, Household & Personal Products, Brazil, 13.46B, 93.10, -, 0.36, -, -, -, 261.50%, -, 695.30%, 157.90%, -, -, -, -, -, -, -, -, -, -, 10.58%, 18.84%, 3.93%, 41.89%, -2.25%, 2.75%
151, NUZE, NuZee Inc., Consumer Defensive, Packaged Foods, USA, 53.51M, -, -, 38.22, 2.97, -, 22.20%, -, -, -119.90%, 0.00%, -144.50%, -171.70%, -141.40%, 11.00, 10.80, 0.01, 0.01, -19.10%, -, -, -6.48%, -52.66%, -77.52%, -66.33%, -71.42%, 5.36%
153, OLLI, "Ollies Bargain Outlet Holdings Inc.", Consumer Defensive, Discount Stores, USA, 5.27B, 26.67, 1.79, 2.91, 4.24, 18.25, 72.00%, 14.04%, 13.15%, 27.10%, 22.10%, 12.30%, 18.60%, 18.10%, 2.80, 1.60, 0.00, 0.00, 40.00%, 14.20%, 12.60%, -6.52%, -0.32%, -4.23%, -5.48%, 5.71%, 3.77%
155, OTLY, Oatly Group AB American Depositary Shares, Consumer Defensive, Beverages - Non-Alcoholic, Sweden, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 17.38%, -
157, PETZ, TDH Holdings Inc., Consumer Defensive, Packaged Foods, China, 118.11M, -, -, 147.64, -, -, 95.30%, -, -, 99.40%, -95.90%, -5.00%, 100.90%, -22.40%, 0.60, 0.50, -, -, -5.10%, -, -, -8.58%, -36.42%, 53.24%, 115.30%, 15.14%, 10.44%
