Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
89, GORO, Gold Resource Corporation, Basic Materials, Gold, USA, 206.89M, 19.86, -, 2.16, 2.24, -, -204.80%, 0.00%, -, 169.30%, 23.50%, -, -, -7.20%, 3.70, 2.70, 0.00, 0.00, 21.80%, -, -, 2.96%, 4.51%, -8.55%, -28.72%, -4.47%, 3.24%
91, GPRE, Green Plains Inc., Basic Materials, Specialty Chemicals, USA, 1.42B, 36.28, -, 0.77, 1.53, -, 1.30%, 291.30%, 15.00%, 86.60%, -12.50%, -, -, -9.70%, 2.40, 1.80, 0.68, 0.98, 8.10%, -, -, 8.80%, 23.27%, 100.95%, 272.98%, 142.14%, 6.23%
93, GROY, Gold Royalty Corp., Basic Materials, Other Precious Metals & Mining, Canada, 203.31M, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 2.89%, -, -, -, 39.11%, 4.57%
95, GSS, Golden Star Resources Ltd., Basic Materials, Gold, Canada, 463.99M, 5.44, 8.44, 1.64, 15.67, -, -79.30%, 31.52%, 10.00%, 1.20%, 20.10%, -, -, 34.20%, 1.10, 0.80, 3.41, 5.81, 45.00%, -, -, -9.12%, 7.87%, -10.11%, 11.53%, -11.32%, 4.13%
97, GURE, Gulf Resources Inc., Basic Materials, Specialty Chemicals, China, 66.31M, -, -, 2.02, 0.23, -, 68.00%, -, 19.00%, 32.70%, 783.30%, -2.60%, -2.80%, -3.10%, 9.90, 9.90, 0.01, 0.01, 31.10%, -24.40%, -22.40%, 3.55%, 38.44%, 35.74%, 44.54%, 51.55%, 5.79%
99, HCC, Warrior Met Coal Inc., Basic Materials, Coking Coal, USA, 983.44M, 9.85, -, 1.28, 1.34, 10.52, -111.90%, 815.40%, -, -199.10%, -5.70%, -5.70%, -10.60%, -0.30%, 3.00, 2.10, 0.60, 0.63, 14.00%, -5.80%, -10.20%, 9.06%, -6.06%, 0.11%, 29.97%, -14.17%, 6.46%
102, HMY, Harmony Gold Mining Company Limited, Basic Materials, Gold, South Africa, 3.20B, 10.53, -, 1.24, 1.37, 10.81, 67.00%, -30.50%, 0.00%, 334.30%, 56.60%, 8.40%, 14.20%, -2.10%, 1.30, 1.00, 0.14, 0.15, 17.50%, 12.90%, 10.10%, 11.45%, 35.08%, 20.28%, 54.95%, 10.26%, 4.22%
104, HUN, Huntsman Corporation, Basic Materials, Chemicals, USA, 6.30B, 9.94, 1.36, 1.01, 1.76, -, -31.30%, 8.22%, 11.39%, 214.20%, 15.30%, 5.00%, 12.30%, 6.90%, 1.90, 1.20, 0.43, 0.44, 19.10%, 8.10%, 6.60%, -3.34%, 2.31%, 10.69%, 56.36%, 12.89%, 2.77%
106, HYMC, Hycroft Mining Holding Corporation, Basic Materials, Other Precious Metals & Mining, USA, 228.22M, 160.80, -, 4.15, 30.92, -, 98.80%, 105.40%, -, 93.50%, 71.20%, -54.30%, -, -54.40%, 3.20, 2.60, 19.18, 20.16, -89.60%, -, -, 13.24%, -42.24%, -48.40%, -68.22%, -48.79%, 7.43%
108, ICL, ICL Group Ltd, Basic Materials, Agricultural Inputs, Israel, 9.23B, -, 204.84, 1.76, 2.34, -, -, -, 3.90%, 125.00%, 14.50%, -, -, -, -, -, -, -, -, -, -, 10.28%, 22.91%, 52.65%, 107.80%, 42.38%, 2.57%
110, IFFT, International Flavors & Fragrances Inc., Basic Materials, Specialty Chemicals, USA, -, -, -, -, 0.85, -, -, -, -, -19.10%, -1.10%, -, -, -, -, -, -, -, -, -, -, -0.54%, 0.48%, 19.91%, 4.16%, 22.53%, 1.07%
112, IOSP, Innospec Inc., Basic Materials, Specialty Chemicals, USA, 2.50B, 20.63, 18.00, 2.16, 2.59, 20.65, -74.50%, 19.02%, 7.50%, -29.60%, -8.80%, 1.40%, 2.00%, 2.40%, 2.20, 1.40, 0.00, 0.00, 28.40%, 1.80%, 1.60%, 2.03%, -0.38%, 15.61%, 31.16%, 11.44%, 2.68%
114, ITP, IT Tech Packaging Inc., Basic Materials, Paper & Paper Products, China, 47.34M, -, -, 0.41, 0.08, -, -307.90%, -, 20.00%, -8.60%, 178.20%, -3.60%, -4.20%, -2.20%, 3.00, 2.70, 0.02, 0.08, 6.60%, -2.50%, -6.40%, -13.80%, -40.20%, -34.73%, 1.51%, -14.39%, 8.39%
116, JCTCF, Jewett-Cameron Trading Company Ltd., Basic Materials, Lumber & Wood Production, USA, 34.56M, -, -, 0.68, 1.75, -, 54.90%, -, -, 68.80%, 38.20%, 14.80%, 17.70%, 13.80%, 6.20, 3.00, 0.01, 0.04, 27.40%, 8.90%, 6.70%, -1.51%, -5.89%, 6.92%, 69.74%, 12.94%, 1.33%
118, KALU, Kaiser Aluminum Corporation, Basic Materials, Aluminum, USA, 2.08B, 18.87, -, 1.85, 2.78, 35.05, -52.70%, 18.35%, -2.62%, -84.50%, -12.30%, 0.20%, 0.60%, 4.50%, 2.70, 1.60, 1.15, 1.15, 18.60%, 4.60%, 0.40%, 7.57%, 7.51%, 63.02%, 80.33%, 30.83%, 5.07%
120, KL, Kirkland Lake Gold Ltd., Basic Materials, Gold, Canada, 11.57B, -, -, 4.70, 2.28, -, -, -, -, 37.50%, 67.70%, -, -, -, -, -, -, -, -, -, -, 15.39%, 33.16%, 9.36%, 12.66%, 4.99%, 2.73%
