Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
143, MOS, The Mosaic Company, Basic Materials, Agricultural Inputs, USA, 13.67B, 14.17, 1.95, 1.49, 1.42, 31.06, 160.60%, -17.13%, 7.00%, 168.00%, 27.80%, 5.30%, 11.30%, 6.80%, 1.10, 0.60, 0.41, 0.47, 15.90%, 8.60%, 11.20%, -0.44%, 17.68%, 60.12%, 198.92%, 57.06%, 4.05%
145, MSB, Mesabi Trust, Basic Materials, Steel, USA, 488.33M, -, -, 18.78, 29.54, -, -22.10%, -, -, 96.60%, 92.90%, 138.20%, 198.30%, 141.90%, 3.60, 3.60, 0.00, 0.00, -, 90.00%, 90.20%, 4.55%, 34.51%, 57.05%, 93.75%, 32.69%, 3.62%
147, MTA, Metalla Royalty & Streaming Ltd., Basic Materials, Other Precious Metals & Mining, Canada, 449.05M, -, -, 200.01, -, -, -, -, -5.60%, -, 182.20%, -, -, -, -, -, -, -, -, -, -, 10.59%, 27.19%, 20.76%, 81.45%, -14.33%, 4.77%
149, MTRN, Materion Corporation, Basic Materials, Other Industrial Metals & Mining, USA, 1.62B, 19.34, 3.83, 1.29, 2.43, 113.04, -71.00%, 29.14%, 12.00%, 527.20%, 27.50%, 3.30%, 5.60%, 2.10%, 3.40, 1.50, 0.11, 0.11, 17.10%, 2.60%, 2.80%, 9.01%, 7.69%, 30.61%, 50.19%, 23.74%, 2.73%
151, MUX, McEwen Mining Inc., Basic Materials, Other Precious Metals & Mining, Canada, 674.99M, 73.50, -, 6.95, 1.65, -, -128.70%, 133.30%, -, 88.60%, -24.50%, -12.90%, -17.20%, -35.20%, 1.80, 1.20, 0.12, 0.00, -29.10%, -63.50%, -67.50%, 17.60%, 37.38%, 50.38%, 62.65%, 49.24%, 5.66%
153, NEM, Newmont Corporation, Basic Materials, Gold, USA, 58.56B, 19.02, 3.05, 4.97, 2.55, 26.01, -15.30%, 9.99%, 8.20%, -35.20%, 11.30%, 6.30%, 11.30%, 6.50%, 2.40, 1.90, 0.24, 0.29, 58.20%, 27.20%, 21.80%, 17.93%, 34.46%, 27.17%, 25.67%, 22.69%, 2.29%
155, NEXA, Nexa Resources S.A., Basic Materials, Other Industrial Metals & Mining, Luxembourg, 1.37B, 8.61, -, 0.65, 1.08, 14.88, -285.90%, -6.55%, -, 104.40%, 36.40%, -0.30%, -1.10%, -11.00%, 1.90, 1.60, 1.37, 1.46, 24.40%, 10.90%, -0.70%, 1.91%, 12.53%, 32.80%, 165.26%, 10.89%, 5.06%
157, NGD, New Gold Inc., Basic Materials, Gold, Canada, 1.41B, 7.69, -, 2.12, 1.73, 58.53, 2.50%, 44.27%, 5.00%, 152.80%, 15.90%, -1.50%, -4.30%, 3.30%, 2.60, 1.90, 0.60, 0.61, 77.80%, 11.70%, -5.40%, 26.04%, 32.30%, 21.71%, 76.03%, -2.74%, 4.94%
159, NP, Neenah Inc., Basic Materials, Paper & Paper Products, USA, 898.22M, 12.79, -, 1.14, 2.46, 18.29, -129.20%, 40.10%, 5.00%, -49.20%, -2.80%, -2.80%, -6.60%, -0.60%, 2.00, 1.30, 0.52, 0.53, 18.90%, -2.00%, -3.10%, -0.60%, -6.71%, 10.27%, 4.69%, -4.32%, 2.41%
162, NUE, Nucor Corporation, Basic Materials, Steel, USA, 30.24B, 17.61, 2.14, 1.40, 2.70, -, -42.90%, -55.27%, 8.88%, 4535.40%, 24.80%, -, -, 6.20%, 3.50, 2.00, 0.46, 0.47, 15.00%, -, -, 24.43%, 66.68%, 87.19%, 142.64%, 92.78%, 4.09%
164, OEC, Orion Engineered Carbons S.A., Basic Materials, Specialty Chemicals, Luxembourg, 1.24B, 10.05, 14.25, 1.07, 6.06, 1380.14, -79.10%, 14.70%, 3.70%, 31.80%, 7.20%, 1.70%, 13.70%, 7.20%, 1.50, 1.10, 3.46, 4.01, 26.30%, 6.90%, 2.00%, -0.10%, 7.95%, 25.56%, 83.00%, 18.09%, 3.88%
166, OR, Osisko Gold Royalties Ltd, Basic Materials, Gold, Canada, 2.39B, -, -, 11.20, 1.38, -, -, -, -, -, 26.50%, -, -, -, -, -, -, -, -, -, -, 17.79%, 44.88%, 35.55%, 44.74%, 12.78%, 2.91%
168, OSN, Ossen Innovation Co. Ltd., Basic Materials, Steel, China, 30.92M, -, -, 0.22, 0.23, -, -0.10%, -, -, 3.30%, 26.60%, 5.90%, 9.20%, 8.70%, 5.20, 4.10, 0.05, 0.26, 17.10%, 11.80%, 8.00%, -2.52%, -4.15%, 4.81%, 128.91%, -2.52%, 2.21%
170, PKX, POSCO, Basic Materials, Steel, South Korea, 28.11B, 8.87, 2.48, 0.53, 0.60, 4.11, -11.60%, 6.36%, 5.00%, 174.20%, 10.50%, 2.70%, 5.00%, 3.10%, 2.20, 1.60, 0.29, 0.50, 9.40%, 5.20%, 3.70%, -4.51%, 25.80%, 44.13%, 117.04%, 28.57%, 1.91%
172, PLL, Piedmont Lithium Limited, Basic Materials, Other Industrial Metals & Mining, Australia, 1.02B, -, -, -, 11.39, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -10.32%, -3.38%, 128.76%, 801.33%, 144.44%, 6.70%
174, PPG, PPG Industries Inc., Basic Materials, Specialty Chemicals, USA, 42.84B, 20.25, 3.87, 2.99, 7.31, 30.71, -14.90%, 10.26%, 9.30%, 54.70%, 14.90%, 6.30%, 22.00%, 10.00%, 1.40, 1.10, 0.91, 1.06, 43.50%, 11.40%, 8.30%, 3.77%, 30.37%, 22.52%, 76.77%, 24.62%, 1.68%
176, PQG, PQ Group Holdings Inc., Basic Materials, Specialty Chemicals, USA, 2.24B, 27.01, -, 2.57, 1.87, 14.45, -370.60%, 51.25%, 4.17%, 18.40%, 0.80%, -10.00%, -24.60%, -5.20%, 1.90, 1.70, 1.18, 1.18, 24.60%, -23.70%, -42.60%, 16.63%, -1.51%, 39.69%, 48.48%, 14.59%, 2.91%
178, PZG, Paramount Gold Nevada Corp., Basic Materials, Gold, USA, 40.00M, -, -, 133.32, 0.81, -, -1.00%, -20.00%, -, 28.10%, -, -11.50%, -13.00%, -, 9.50, 9.50, 0.09, 0.09, -, -, -, 3.88%, -0.93%, 1.80%, -4.46%, -8.55%, 2.89%
180, RFP, Resolute Forest Products Inc., Basic Materials, Paper & Paper Products, Canada, 1.37B, 9.23, 67.91, 0.46, 1.16, 3.55, 122.50%, -63.75%, 0.21%, -, 26.70%, 2.60%, 8.10%, 3.80%, 2.30, 1.10, 0.41, 0.41, 32.70%, 10.00%, 3.30%, 28.09%, 77.21%, 201.25%, 806.99%, 157.95%, 7.42%
161, NTR, Nutrien Ltd., Basic Materials, Agricultural Inputs, Canada, 35.44B, 20.44, -, 1.73, 1.59, -, -, 29.90%, -, -, 11.90%, -, -, -, -, -, -, -, -, -, -, 10.65%, 11.60%, 27.91%, 82.79%, 29.05%, 2.40%
163, ODC, Oil-Dri Corporation of America, Basic Materials, Specialty Chemicals, USA, 269.74M, -, -, 0.92, 1.70, 29.64, 55.00%, -, -, -48.10%, -47.60%, 8.30%, 12.60%, 13.00%, 2.90, 2.30, 0.06, 0.06, 25.90%, 8.30%, 6.50%, 4.82%, 2.55%, 1.47%, 3.16%, 7.25%, 1.98%
165, OLN, Olin Corporation, Basic Materials, Specialty Chemicals, USA, 7.84B, 9.41, -, 1.25, 4.57, 23.28, 575.70%, -1.59%, 2.30%, 398.80%, 34.60%, -7.60%, -38.00%, -13.10%, 1.70, 1.10, 2.18, 2.21, 13.20%, -5.10%, -10.30%, 11.01%, 53.45%, 111.46%, 306.40%, 99.06%, 4.16%
167, ORLA, Orla Mining Ltd., Basic Materials, Gold, Canada, 1.16B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 31.81%, 44.25%, 2.98%, 100.87%, -9.28%, 6.15%
169, PAAS, Pan American Silver Corp., Basic Materials, Silver, Canada, 7.11B, 13.91, 1.67, 5.27, 2.74, 45.30, 54.00%, 84.94%, 17.14%, 89.90%, 2.70%, 7.40%, 9.90%, 5.10%, 2.60, 1.20, 0.01, 0.01, 29.70%, 20.20%, 18.30%, 3.86%, 5.06%, 15.36%, 14.81%, -2.52%, 4.28%
171, PLG, Platinum Group Metals Ltd., Basic Materials, Other Precious Metals & Mining, Canada, 311.30M, -, -, -, 145.33, -, 77.50%, -, -, -10.60%, -, -26.10%, 100.10%, -, 8.70, 8.70, 11.72, 0.00, -, -, -, -14.00%, 6.60%, 93.78%, 190.67%, -6.03%, 6.56%
173, PLM, PolyMet Mining Corp., Basic Materials, Other Industrial Metals & Mining, USA, 296.40M, -, -, -, 0.84, -, 76.00%, 0.00%, 20.00%, 50.20%, -, -3.70%, -4.60%, -, 0.40, 0.40, 0.07, 0.12, -, -, -, 4.45%, -33.41%, -15.98%, 25.10%, -10.56%, 4.28%
175, PPTA, Perpetua Resources Corp., Basic Materials, Other Precious Metals & Mining, USA, 366.88M, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3.21%, 20.62%, -12.57%, 80.02%, -18.74%, 5.31%
177, PVG, Pretium Resources Inc., Basic Materials, Gold, Canada, 2.14B, 22.80, -, 3.47, 2.30, -, 116.70%, 733.30%, -, -, 25.20%, -, -, -, -, -, -, -, -, -, -, 6.44%, 17.77%, 2.33%, 30.73%, -0.70%, 3.60%
179, RETO, ReTo Eco-Solutions Inc., Basic Materials, Building Materials, China, 28.21M, -, -, 2.91, 1.00, 35.26, -10.70%, -, -, -390.70%, -77.50%, -17.00%, -32.60%, -32.40%, 0.60, 0.50, 0.23, 0.58, 11.90%, -, -, -5.13%, -37.29%, 71.43%, 4.73%, 67.04%, 9.32%
182, RIO, Rio Tinto Group, Basic Materials, Other Industrial Metals & Mining, United Kingdom, 141.43B, 8.68, -, 3.17, 3.01, 39.80, 23.00%, -24.89%, -7.10%, -26.80%, 22.50%, 11.00%, 23.50%, 18.90%, 1.80, 1.50, 0.28, 0.29, -, 37.00%, 21.90%, -0.11%, -1.63%, 33.27%, 63.82%, 17.43%, 2.05%
184, RPM, RPM International Inc., Basic Materials, Specialty Chemicals, USA, 12.14B, 20.70, 1.71, 2.09, 7.76, 19.17, 20.00%, 8.35%, 15.65%, 222.80%, 8.10%, 9.10%, 36.00%, 10.70%, 2.30, 1.40, 1.49, 1.49, 38.90%, 13.00%, 9.00%, -1.18%, 15.34%, 7.41%, 25.07%, 3.03%, 1.65%
186, RYAM, Rayonier Advanced Materials Inc., Basic Materials, Chemicals, USA, 508.13M, -, -, 0.28, 0.74, 5.57, 99.90%, -314.30%, -, -8.10%, 13.50%, -0.10%, -0.30%, 3.70%, 2.30, 1.30, 1.62, 1.64, 11.20%, 4.80%, -0.10%, -17.26%, -27.85%, 17.50%, 255.76%, 18.40%, 7.76%
188, SAND, Sandstorm Gold Ltd., Basic Materials, Gold, Canada, 1.69B, 108.88, -, 16.50, 2.72, -, 40.00%, 14.30%, -, -, 45.30%, -, -, -, -, -, -, -, -, -, -, 14.91%, 44.21%, 20.14%, 4.44%, 21.48%, 3.47%
190, SCCO, Southern Copper Corporation, Basic Materials, Copper, USA, 53.49B, 18.32, 2.11, 6.08, 7.17, 50.79, 5.70%, -9.21%, 12.06%, 255.60%, 47.30%, 12.80%, 29.70%, 14.10%, 3.70, 3.00, 0.87, 0.00, 57.10%, 44.80%, 24.10%, -3.15%, -6.88%, 16.27%, 92.12%, 7.09%, 3.78%
192, SCL, Stepan Company, Basic Materials, Specialty Chemicals, USA, 3.03B, 18.00, 5.09, 1.55, 3.09, 15.12, 23.20%, 9.67%, 4.40%, 47.20%, 19.50%, 8.30%, 14.60%, 10.80%, 1.70, 1.20, 0.16, 0.25, 21.10%, 9.50%, 7.10%, 2.47%, 9.46%, 13.63%, 38.60%, 12.86%, 2.04%
194, SHW, The Sherwin-Williams Company, Basic Materials, Specialty Chemicals, USA, 76.00B, 27.52, 3.51, 4.03, 24.48, 27.43, 33.90%, 10.50%, 10.45%, 31.10%, 12.30%, 10.30%, 57.40%, 16.90%, 0.90, 0.60, 2.55, 2.96, 47.20%, 13.90%, 11.20%, 3.69%, 22.59%, 16.32%, 43.23%, 15.74%, 1.56%
196, SILV, SilverCrest Metals Inc., Basic Materials, Other Industrial Metals & Mining, Canada, 1.43B, 0.55, -, -, 8.60, -, 3.90%, 2.40%, -, -, -, -, -, -, -, -, -, -, -, -, -, 12.36%, 23.87%, 14.97%, 10.97%, -11.36%, 4.84%
198, SMG, The Scotts Miracle-Gro Company, Basic Materials, Agricultural Inputs, USA, 12.00B, 23.05, 2.26, 2.42, 12.87, -, -12.70%, 3.09%, 10.10%, 23.00%, 32.30%, 13.40%, 65.40%, 20.80%, 1.90, 1.20, 2.47, 2.69, 32.80%, 15.20%, 10.90%, -8.34%, -3.30%, 28.31%, 56.95%, 9.15%, 2.99%
200, SMTS, Sierra Metals Inc., Basic Materials, Other Industrial Metals & Mining, Canada, 587.75M, 51.57, -, 2.38, 2.92, -, -, 333.30%, -, 67.70%, 17.90%, -, -, -, -, -, -, -, -, -, -, -1.90%, 32.72%, 23.63%, 353.29%, 8.73%, 5.87%
181, RGLD, Royal Gold Inc., Basic Materials, Gold, USA, 8.15B, 33.74, 2.80, 14.35, 3.34, 47.23, 34.70%, 8.46%, 14.70%, 40.10%, 4.50%, 9.70%, 11.40%, 5.10%, 7.10, 6.90, 0.06, 0.06, 83.40%, 52.20%, 47.50%, 8.58%, 19.35%, 13.03%, -7.08%, 16.37%, 2.55%
183, RKDA, Arcadia Biosciences Inc., Basic Materials, Agricultural Inputs, USA, 60.19M, -, -, 7.52, 1.14, -, 89.70%, 13.80%, 14.96%, 211.00%, 1613.90%, -52.40%, -127.40%, -43.00%, 5.00, 4.40, 0.08, 0.12, 87.10%, -, -, 4.81%, -12.65%, -14.24%, -22.25%, 11.86%, 6.69%
185, RS, Reliance Steel & Aluminum Co., Basic Materials, Steel, USA, 10.72B, 13.73, 1.84, 1.18, 2.00, 12.81, -45.30%, -18.80%, 10.29%, 349.50%, 10.30%, 7.10%, 11.20%, 6.80%, 4.40, 2.60, 0.31, 0.31, 32.50%, 9.30%, 6.30%, 2.72%, 20.63%, 38.42%, 73.27%, 40.35%, 2.77%
187, SA, Seabridge Gold Inc., Basic Materials, Gold, Canada, 1.47B, -, -, -, 2.75, -, -20.90%, -22.20%, -, -14.90%, -, -2.80%, -3.00%, -, 4.30, 4.30, 0.00, 0.00, -, -, -, 10.58%, 13.61%, 5.75%, 23.28%, -9.25%, 3.39%
189, SBSW, Sibanye Stillwater Limited, Basic Materials, Gold, South Africa, 13.41B, 4.63, -, 1.45, 2.57, 10.52, -, 5.01%, -, 728.90%, 170.60%, 25.80%, 68.30%, 39.90%, 3.00, 1.60, 0.26, 0.27, 33.20%, 31.20%, 23.00%, -4.41%, -2.28%, 40.00%, 150.82%, 15.86%, 3.24%
191, SCHN, Schnitzer Steel Industries Inc., Basic Materials, Steel, USA, 1.51B, 9.07, 2.71, 0.77, 2.09, -, -107.30%, -1.40%, 10.00%, 1048.30%, 36.50%, 4.30%, 8.40%, 0.90%, 1.90, 1.00, 0.23, 0.23, 15.00%, 4.50%, 2.90%, 14.43%, 46.45%, 105.51%, 247.01%, 70.73%, 4.73%
193, SEED, Origin Agritech Limited, Basic Materials, Agricultural Inputs, China, 66.07M, -, -, 8.06, -, -, -14.20%, -, -, 54.40%, -9.70%, -31.80%, 368.60%, -161.60%, 0.40, 0.30, -, -, 6.70%, -, -, -24.21%, -50.60%, 16.08%, 217.31%, -23.96%, 8.81%
195, SID, Companhia Siderurgica Nacional, Basic Materials, Steel, Brazil, 11.91B, 4.86, 1.65, 1.70, 4.29, 6.01, 112.10%, -37.51%, 3.60%, 485.10%, 123.30%, 17.00%, 124.30%, 11.10%, 1.80, 1.50, 2.15, 2.41, 41.90%, 34.90%, 28.40%, -9.06%, 41.93%, 95.19%, 351.32%, 43.36%, 3.82%
197, SIM, Grupo Simec S.A.B. de C.V., Basic Materials, Steel, Mexico, 3.64B, -, -, 1.78, 1.97, 30.52, -147.10%, -, -, 38.20%, 57.10%, 10.20%, 14.20%, -2.90%, 3.00, 2.00, 0.00, 0.00, 20.80%, 17.30%, 12.00%, 52.70%, 61.83%, 121.76%, 197.11%, 65.63%, 10.34%
199, SMID, Smith-Midland Corporation, Basic Materials, Building Materials, USA, 87.86M, -, -, 1.78, 3.47, 10.71, 35.70%, -, -, -3.90%, 55.10%, 11.90%, 23.70%, 8.40%, 2.40, 2.20, 0.23, 0.28, 30.80%, 15.50%, 11.30%, 45.37%, 41.33%, 113.42%, 285.87%, 87.83%, 4.81%
202, SPPP, Sprott Physical Platinum and Palladium Trust, Basic Materials, Other Precious Metals & Mining, Canada, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -4.17%, 13.64%, 22.47%, 40.65%, 12.23%, 2.03%
204, SSRM, SSR Mining Inc., Basic Materials, Gold, Canada, 4.10B, 9.75, -, 3.89, 1.17, 17.47, 73.70%, 8.56%, -, 17.70%, 122.80%, 3.80%, 5.70%, 4.10%, 6.00, 4.20, 0.12, 0.14, 39.00%, 28.00%, 15.40%, 15.94%, 33.07%, 4.51%, -3.54%, -7.76%, 3.95%
206, SUM, Summit Materials Inc., Basic Materials, Building Materials, USA, 4.05B, 24.15, 1.14, 1.69, 2.51, 16.79, 129.60%, 21.07%, 21.80%, 50.80%, 16.50%, 3.80%, 10.40%, 6.60%, 2.70, 2.00, 1.20, 1.21, 31.30%, 10.60%, 6.70%, 18.96%, 23.96%, 78.02%, 129.23%, 73.41%, 3.83%
208, SVM, Silvercorp Metals Inc., Basic Materials, Silver, Canada, 1.13B, 21.50, 4.92, 5.87, 2.42, 15.25, 33.00%, -9.91%, 5.00%, 122.60%, 88.90%, 7.50%, 10.50%, 12.50%, 5.90, 5.70, 0.00, 0.00, 50.00%, 37.30%, 24.10%, 21.01%, 15.18%, 10.07%, 45.93%, -3.59%, 4.77%
210, SXC, SunCoke Energy Inc., Basic Materials, Coking Coal, USA, 634.78M, 15.53, 5.14, 0.48, 1.30, 6.07, 102.20%, 4.30%, 8.00%, 238.40%, -6.00%, 0.90%, 3.20%, 5.70%, 1.50, 0.60, 1.34, 1.34, 22.30%, 6.30%, 1.20%, 10.09%, 14.61%, 58.53%, 120.82%, 73.10%, 5.30%
212, SYNL, Synalloy Corporation, Basic Materials, Steel, USA, 88.73M, -, -, 0.35, 1.11, 6.12, -823.20%, -, 12.40%, 190.70%, -6.60%, -11.10%, -28.70%, -19.40%, 3.80, 1.30, 0.77, 0.78, 9.70%, -11.20%, -10.00%, 3.03%, 10.65%, 64.50%, 5.67%, 26.54%, 5.11%
214, TG, Tredegar Corporation, Basic Materials, Specialty Chemicals, USA, 516.33M, -, 1.73, 0.69, 4.39, -, -128.70%, -, 21.90%, 146.10%, -3.90%, -, -, 22.80%, 1.50, 0.90, 1.23, 1.23, 22.50%, -, -, 2.90%, -3.97%, 30.13%, 40.58%, -8.74%, 2.91%
216, THM, International Tower Hill Mines Ltd., Basic Materials, Gold, Canada, 228.40M, -, -, -, 3.37, -, -16.60%, -, -, -, -, -8.60%, -8.70%, -, 28.80, 28.80, 0.00, 0.00, -, -, -, 13.37%, -2.14%, -15.81%, 1.33%, -17.03%, 5.28%
218, TMST, TimkenSteel Corporation, Basic Materials, Steel, USA, 681.90M, 9.35, -, 0.81, 1.34, 6.40, 44.00%, -6.36%, -, 139.70%, 5.40%, -3.20%, -6.20%, -11.20%, 1.90, 1.00, 0.09, 0.17, 4.60%, -5.70%, -3.80%, 25.10%, 75.75%, 197.06%, 332.86%, 224.41%, 7.58%
220, TROX, Tronox Holdings plc, Basic Materials, Chemicals, USA, 3.62B, 9.63, 0.07, 1.24, 1.91, 13.99, 920.40%, 27.58%, 48.90%, -44.60%, 23.40%, 15.20%, 67.50%, 23.20%, 2.10, 1.30, 1.60, 1.88, 22.20%, 9.00%, 32.70%, 6.73%, 29.87%, 85.76%, 253.61%, 60.60%, 3.98%
201, SNES, SenesTech Inc., Basic Materials, Specialty Chemicals, USA, 19.89M, -, -, 66.31, 0.83, -, 63.80%, 46.30%, 30.00%, 86.80%, 51.60%, -82.00%, -107.50%, -168.80%, 33.50, 31.70, 0.04, 0.05, 0.00%, -, -, 0.62%, -11.48%, 3.40%, -15.18%, -6.09%, 6.26%
203, SQM, Sociedad Quimica y Minera de Chile S.A., Basic Materials, Chemicals, Chile, 12.02B, 24.23, 3.19, 6.15, 5.31, -, -40.80%, 40.39%, 19.10%, 51.10%, 34.80%, 3.90%, 8.90%, 5.70%, 5.10, 3.00, 0.89, 0.91, 26.20%, 17.10%, 9.60%, -17.86%, -20.90%, -10.28%, 79.89%, -11.65%, 4.22%
205, STLD, Steel Dynamics Inc., Basic Materials, Steel, USA, 13.09B, 12.87, 4.85, 1.24, 2.79, -, -14.70%, -49.14%, 3.44%, 131.70%, 37.60%, 8.70%, 18.20%, 9.60%, 2.90, 1.60, 0.64, 0.66, 17.20%, 11.00%, 7.50%, 12.93%, 41.85%, 64.81%, 135.05%, 69.32%, 3.70%
207, SUZ, Suzano S.A., Basic Materials, Paper & Paper Products, Brazil, 16.00B, -, -, 0.53, 2.21, -, -, -, -, 405.80%, 13.70%, -, -, -, -, -, -, -, -, -, -, -6.83%, -10.49%, 24.97%, 67.51%, 6.08%, 2.68%
209, SWM, Schweitzer-Mauduit International Inc., Basic Materials, Paper & Paper Products, USA, 1.35B, 10.41, 3.08, 1.23, 1.94, 16.02, -1.70%, 18.02%, 5.00%, -4.90%, 10.20%, 5.20%, 13.10%, 8.90%, 2.70, 1.60, 0.94, 0.95, 28.60%, 11.60%, 7.50%, -10.23%, -14.95%, 14.69%, 34.62%, 1.74%, 2.88%
211, SXT, Sensient Technologies Corporation, Basic Materials, Specialty Chemicals, USA, 3.66B, 25.47, 8.04, 2.73, 3.96, 41.78, 33.30%, 12.34%, 3.80%, 52.20%, 2.60%, 7.00%, 13.30%, 8.50%, 3.70, 1.90, 0.57, 0.57, 32.10%, 12.30%, 9.00%, 4.13%, 10.95%, 18.92%, 73.08%, 17.60%, 1.52%
213, TECK, Teck Resources Limited, Basic Materials, Other Industrial Metals & Mining, Canada, 13.18B, 8.96, -, 1.74, 0.78, -, -49.60%, 8.71%, 13.18%, 198.80%, 7.20%, -0.60%, -1.20%, -2.60%, 1.20, 0.60, 0.39, 0.41, 17.80%, 0.40%, -2.70%, 12.68%, 17.39%, 58.80%, 160.38%, 36.14%, 4.57%
215, TGB, Taseko Mines Limited, Basic Materials, Other Industrial Metals & Mining, Canada, 701.91M, 17.41, -, 2.30, 2.77, 25.62, 57.10%, 25.44%, -, 80.10%, 39.60%, 1.50%, 4.70%, 2.20%, 3.70, 3.10, 1.70, 1.77, 16.20%, 4.60%, 3.90%, 20.87%, 44.77%, 180.28%, 527.05%, 88.64%, 7.24%
217, TMQ, Trilogy Metals Inc., Basic Materials, Other Industrial Metals & Mining, Canada, 402.58M, -, -, -, 2.22, -, 63.20%, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 23.45%, 24.00%, 64.12%, 48.40%, 39.50%, 5.33%
219, TREC, Trecora Resources, Basic Materials, Specialty Chemicals, USA, 203.93M, -, -, 1.01, 1.02, 22.66, 137.50%, -, 17.50%, -176.40%, -12.10%, 5.00%, 8.10%, 2.70%, 3.30, 2.90, 0.24, 0.26, 11.40%, -1.70%, 8.00%, 8.48%, 11.73%, 20.26%, 28.17%, 17.17%, 2.52%
222, TRX, Tanzanian Gold Corporation, Basic Materials, Gold, Canada, 128.30M, -, -, -, 2.19, -, 58.80%, -, -, 109.50%, -, -20.00%, -29.30%, -, 2.50, 2.40, 0.00, 0.00, -, -, -, -10.81%, -28.37%, -15.83%, -40.69%, -23.60%, 4.44%
224, TX, Ternium S.A., Basic Materials, Steel, Luxembourg, 7.26B, 5.79, 0.20, 0.75, 0.92, 5.98, 38.00%, -38.78%, 26.17%, -, 43.10%, 10.90%, 19.60%, 8.50%, 2.40, 1.40, 0.17, 0.25, 24.70%, 19.00%, 14.30%, -9.20%, 12.68%, 35.24%, 130.40%, 25.89%, 3.95%
226, UAN, CVR Partners LP, Basic Materials, Agricultural Inputs, USA, 634.16M, -, -, 1.89, 2.21, 234.88, -184.10%, -, 8.00%, -29.70%, -18.90%, -9.90%, -31.80%, -3.70%, 1.30, 0.80, 2.20, 2.21, 27.10%, -13.10%, -30.60%, 3.86%, 146.85%, 561.74%, 551.52%, 271.35%, 8.45%
228, UFS, Domtar Corporation, Basic Materials, Paper & Paper Products, USA, 2.71B, 12.85, -, 0.82, 1.39, 16.25, -291.30%, 0.91%, 5.00%, 51.10%, -8.40%, -3.50%, -7.30%, -3.10%, 2.20, 1.40, 0.24, 0.39, 13.10%, -5.90%, -4.90%, 35.57%, 50.18%, 73.93%, 165.83%, 71.34%, 1.62%
230, USAP, Universal Stainless & Alloy Products Inc., Basic Materials, Steel, USA, 91.16M, -, -, 0.58, 0.43, 3.59, -548.30%, 95.20%, 3.15%, -217.80%, -36.80%, -6.90%, -9.60%, -6.20%, 5.60, 1.10, 0.22, 0.23, -4.90%, -17.00%, -14.00%, 21.20%, 0.75%, 51.41%, 37.12%, 43.72%, 5.71%
232, USAU, U.S. Gold Corp., Basic Materials, Gold, USA, 86.48M, -, -, -, 2.19, -, 27.30%, 61.30%, -, -68.20%, -, -84.10%, -87.40%, -, 25.50, 25.50, 0.00, 0.00, -, -, -, 14.70%, 17.45%, 17.56%, 39.36%, -25.98%, 4.27%
234, USLM, United States Lime & Minerals Inc., Basic Materials, Building Materials, USA, 788.98M, -, -, 4.81, 3.15, 19.97, 8.00%, -, -, 26.10%, 8.60%, 10.80%, 12.40%, 11.50%, 12.20, 10.80, 0.00, 0.00, 30.20%, 21.90%, 18.10%, -0.18%, -4.35%, 28.37%, 87.63%, 22.06%, 2.07%
236, VEDL, Vedanta Limited, Basic Materials, Other Industrial Metals & Mining, India, 13.68B, -, -, 1.29, 1.89, 7.30, -223.70%, -, -, 325.70%, -59.00%, -3.90%, -12.60%, -1.20%, 1.00, 0.80, 0.74, 1.18, 3.50%, -1.90%, -9.10%, 5.48%, 24.00%, 137.66%, 203.89%, 68.91%, 2.15%
238, VHI, Valhi Inc., Basic Materials, Chemicals, USA, 735.08M, 4.54, 0.70, 0.39, 1.05, 4.68, 3.50%, 30.41%, 25.50%, -39.30%, 10.80%, 1.60%, 9.10%, 7.80%, 4.70, 3.10, 1.09, 1.09, 22.20%, 7.30%, 2.40%, -5.09%, 39.18%, 58.96%, 173.42%, 69.21%, 8.61%
240, VNTR, Venator Materials PLC, Basic Materials, Specialty Chemicals, United Kingdom, 516.98M, 10.27, -, 0.26, 0.90, 19.15, 36.10%, 176.57%, 30.10%, -398.90%, 3.90%, -6.00%, -22.20%, -5.10%, 2.50, 1.50, 1.61, 1.62, 7.80%, -4.30%, -7.10%, 3.54%, 28.76%, 118.94%, 279.39%, 50.15%, 7.91%
221, TRQ, Turquoise Hill Resources Ltd., Basic Materials, Copper, Canada, 3.60B, 17.77, 3.06, 2.44, 0.37, -, 370.00%, -64.64%, 2.00%, 327.20%, 302.80%, -, -, 3.50%, 2.40, 1.90, 0.43, 0.43, 48.80%, -, -, 0.17%, 15.80%, 85.09%, 141.00%, 43.96%, 5.77%
