,open,high,low,close,adjclose,volume,ticker,hlc3,sma3,ema1,ema2,ema3,MACD,rsi,SMArsi,drsi,sma20,previous_close,high-low,high-pc,low-pc,tr,atr,upperband,lowerband,in_uptrend,kst,wema1,wema2,wema3,dprice,dvolume,momentum,SMAVol20,volmom,perc1c2,percc1,ROC10,date
2018-01-02,267.8399963378906,268.80999755859375,267.3999938964844,268.7699890136719,246.76661682128906,86655700,SPY,268.32666015625,268.32666015625,246.76661682128906,246.76661682128906,246.76661682128906,0.0,0.0,0.0,0.0,246.76661682128906,0.0,1.410003662109375,0.0,0.0,1.410003662109375,0.0,0.0,0.0,1,64.68013000488281,21.560043334960938,21.560043334960938,21.560043334960938,0.0,0.0,0.0,86655700.0,0.0,0.0,0.0,0.0,2018-01-02
2018-01-03,268.9599914550781,270.6400146484375,268.9599914550781,270.4700012207031,248.32748413085938,90070400,SPY,270.02333577473956,269.45777723524304,247.6585409981864,247.6027957371303,247.58421398344493,0.07432701474147052,0.0,0.0,0.0,247.54705047607422,268.7699890136719,1.680023193359375,1.870025634765625,0.19000244140625,1.870025634765625,0.0,0.0,0.0,1,65.52778098696754,22.36479477655317,22.42054003760927,22.43912179129464,1.5608673095703125,3414700.0,5329893.601989746,88363050.0,1707350.0,0.0,1.0063252774207327,0.0,2018-01-03
2018-01-04,271.20001220703125,272.1600036621094,270.5400085449219,271.6099853515625,249.3740997314453,80636400,SPY,271.43666585286456,270.5885707310268,248.40040423419023,248.27943987757322,248.2385226707804,0.16188156340982118,0.0,0.0,0.0,248.15606689453125,270.4700012207031,1.6199951171875,1.69000244140625,0.07000732421875,1.69000244140625,0.0,0.0,0.0,1,66.84734541053649,23.03626161867433,23.15722597529134,23.198143182084152,1.0466156005859375,-9434000.0,-9873771.575927734,85787500.0,-5151100.0,1.0063252774207327,1.0042146587368252,0.0,2018-01-04
2018-01-05,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,251.03590393066406,83524000,SPY,272.97667439778644,271.86222601996525,249.36424412318638,249.1227199880864,249.0407882292603,0.32345589392608076,0.0,0.0,0.0,248.87602615356445,271.6099853515625,1.6099853515625,1.95001220703125,0.34002685546875,1.95001220703125,0.0,0.0,0.0,1,68.05892571936263,23.612430274600058,23.853954409700037,23.93588616852614,1.66180419921875,2887600.0,4798625.8056640625,85221625.0,-1697625.0,1.0042146587368252,1.006663900545439,0.0,2018-01-05
2018-01-08,273.30999755859375,274.1000061035156,272.9800109863281,273.9200134277344,251.4949951171875,57319200,SPY,273.6666768391927,272.7935554750504,250.0626721058551,249.74164293947678,249.6293460423369,0.4333260635182228,0.0,0.0,0.0,249.39981994628906,273.4200134277344,1.1199951171875,0.67999267578125,0.44000244140625,1.1199951171875,0.0,0.0,0.0,1,68.94700533748252,23.604004733337575,23.925033899715913,24.037330796855798,0.4590911865234375,-26204800.0,-12030392.724609375,79641140.0,-22321940.0,1.006663900545439,1.0018287869557108,0.0,2018-01-08
2018-01-09,274.3999938964844,275.25,274.0799865722656,274.5400085449219,252.06430053710938,57254000,SPY,274.6233317057292,273.7229656239666,250.67142396614747,250.279064498278,250.1376037903796,0.533820175767886,0.0,0.0,0.0,249.84390004475912,273.9200134277344,1.170013427734375,1.329986572265625,0.15997314453125,1.329986572265625,0.0,0.0,0.0,1,70.0808046170948,23.951907739581713,24.344267207451196,24.4857279153496,0.569305419921875,-65200.0,-37118.71337890625,75909950.0,-18655950.0,1.0018287869557108,1.0022636848882682,0.0,2018-01-09
2018-01-10,273.67999267578125,274.4200134277344,272.9200134277344,274.1199951171875,251.6787109375,69574300,SPY,273.82000732421875,273.7718685280307,250.96203799972218,250.5739996790119,250.42537823005816,0.536659769664027,0.0,0.0,0.0,250.10601588657923,274.5400085449219,1.5,0.1199951171875,1.6199951171875,1.6199951171875,1.5700029645647322,277.59502083914623,269.7450060163225,1,69.35418967529998,22.857969324496565,23.246007645206845,23.394629094160592,-0.385589599609375,12320300.0,-4750579.544067383,75004857.14285715,-5430557.142857149,1.0022636848882682,0.9984702728677256,0.0,2018-01-10
2018-01-11,274.75,276.1199951171875,274.55999755859375,276.1199951171875,253.51486206054688,62361500,SPY,275.59999593098956,274.68951679304536,251.67124477229618,251.1491890561487,250.9518375586211,0.7194072136750833,0.0,0.0,0.0,250.5321216583252,274.1199951171875,1.55999755859375,2.0,0.44000244140625,2.0,1.6542881556919642,279.4757167271205,271.2042759486607,1,70.29627899207009,23.928751158693387,24.45080687484085,24.64815837236847,1.836151123046875,-7212800.0,-13243790.8203125,73424437.5,-11062937.5,0.9984702728677256,1.007295615573551,0.0,2018-01-11
2018-01-12,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,255.16754150390625,90816100,SPY,277.3699951171875,276.0323787323416,252.61627635511897,251.8890611497304,251.61730765465487,0.9989687004641041,0.0,0.0,0.0,251.0471683078342,276.1199951171875,2.029998779296875,1.989990234375,0.040008544921875,2.029998779296875,1.6771414620535714,281.287839617048,272.9021323067801,1,71.97449103752055,24.75371876206853,25.480933967457105,25.752687462532634,1.652679443359375,28454600.0,47026332.48901367,75356844.44444445,15459255.555555552,1.007295615573551,1.0065190633398238,0.0,2018-01-12
2018-01-16,279.3500061035156,280.0899963378906,276.17999267578125,276.9700012207031,254.29534912109375,106555100,SPY,277.7466634114583,276.8903589431996,253.0610937791647,252.31069971462145,252.01352485098883,1.0475689281758775,0.0,0.0,0.0,251.37198638916016,277.9200134277344,3.910003662109375,2.16998291015625,1.740020751953125,3.910003662109375,1.9942844935825892,283.1207057407924,273.1492832728795,1,73.28575848482384,24.685569632293607,25.435963696836865,25.733138560469484,-0.8721923828125,15739000.0,-13727435.913085938,78476670.0,28078430.0,1.0065190633398238,0.9965818835041793,0.0,2018-01-16
